hyNo,c_HYNAME,j_HYNAME
1,頌贊獨一真神,聖なる聖なる
2,讚美聖父,御栄えハレルヤ
3,亞伯拉罕的神,アブラハムの神わが神
4,讚美天父,主をたたえよ
5,萬有讚美天父,いざほめまつれ
6,頌主造化大功,御手の業たたえん
7,萬有齊頌主,主を賛美せよ
8,當向神歌頌,我が主に向かいて
9,向主歡呼,全ての恵みの基
10,榮耀歸耶穌,御栄えはイエスにあれ
11,在主内頂快樂,主は共に在りて
12,耶穌尊名,主イエスの御名は妙なる
13,無人能比耶穌,主イエスの如き友は
14,萬王之王,イエスは王の王
15,頌贊耶穌,ほめまつれ御神をば
16,敬拜天地主宰,天地の神をたたえよ
17,頌贊主慈愛,主イエスの愛
18,歌頌主恩,御国に住まいを
19,和散那,ホサナ
20,尊主為王,王なるイエス
21,美哉，主耶穌！,麗しき主イエス
22,讚美經訓,素晴らしき聖書
23,聖經寶貴,聖書は貴き宝
24,生命之道,妙なる命の御言葉
25,神言純潔真誠,主の律法は完全で
26,求主向我發言,主よ御言葉与えませ
27,耶穌愛我,尊きかな主の愛
28,耶穌仁愛,愛なるイエス君
29,主尋亡羊,九十九の羊は
30,妙愛找我,探し尋ねて
31,主全為我,主は我が救い
32,耶穌肯收納罪人,イエスは罪人招き給いぬ
33,到新耶路撒冷,新エルサレムへ
34,耶穌恩召,イエスは汝を呼び給う
35,雨夜過後見光明,朝にはきらめく
36,微聲盼望,微けき御声
37,朱紅罪變如雪,罪は緋のごとく
38,我聞耶穌呼聲,イエスの声聞こゆ
39,惟獨主血有效,主の血潮の他なし
40,主之寶血,おもえば御声にそむき
41,主血有權能,力ある主の血
42,羔羊寶血,君の血潮にて
43,寶血洗淨,イエスの血潮
44,惟有主能救我,ただ主イエス
45,搭救罪人,罪人来たれ主に
46,主開心眼,心の目開かれて
47,耶穌救我,主よ我れ行かん
48,救恩成在十字架,十字架を誇る
49,主拯救我,主私を救う
50,惟獨耶穌,唯一の救い主
51甲 ,萬古靈磐（甲）,霊の岩なるわが主（甲）
51乙 ,萬古靈磐（乙）,霊の岩なるわが主（乙）
52,主恩浩大,主により雪の如し
53,天父慈仁,神は愛なり
54,離暗就光,ハレルヤ主イエス
55,蒙主釋放,罪より救われ
56,禧年已到,喜ばしき年きたれり
57,我罪極重,我れ行かん
58,耶穌領我,主の手に引かれて
59,求主引導,御国を慕いて
60,行走天路,天つ御国の旅路
61,求主引路,主よ導きませ
62,願主偕行,我が主偕にあり
63,願主領路,愛の手のばして
64,真光領導,御光りは我がうちに
65,靠近主,常にわが身と
66,主，我等候你！,望みは主にあり
67,求主指引我路,導きませわたしを
68,求主攜我手,主よ子の手をとりて
69,求主操我舵,イエスはいませり
70,主有萬福,悩みと憂いに
71,耶穌我主,我が主よ
72,萬福之主,主は偉大なる医者
73,賜福救主,御恵み豊かな主
74,救主降生,主の御降誕
75,基督降生,聞けやよき知らせ
76,耶穌受死,イエスの十字架
77,高舉十架,丘に立てる十字架
78,樂主復活,墓の中に
79,耶穌復活頌,主よみがえりたり
80,主已戰勝死亡,勝利は主のもの
81,耶穌再臨,イエスご再臨
82,儆醒預備,懐かしや主イエス君
83,耶穌來時,その時暗きは失せん
84,歡迎我王,いざむかえまつらん
85,主快再來,目覚めて備えよ
86,善惡有報,悪しきはかり
87,審判大日,審判の日は近づけり
88,救主恩功,主の恩愛
89,主恩更多,主の御恵み
90,數算恩典,主の恵みを数えみよ
91,想念主愛,昼も夜も思うイエス
92,病癒感恩,癒しの恵み
93,更新感恩,日々新たなり
94,主恩長存,変わらぬ主の愛
95,受膏的君王,イエス?主イエス
96,奇異恩典,如何なる恵みぞ
97,我主離開象牙宮,天なる宮殿離れ
98,當我思量十架,十字架の恵みは
99,愛主更深,我れは主を愛す
100,舍已為主,主は御位を捨てて
101,專愛耶穌,イエスを愛す
102,為主而活,主のために生きる
103,快親近神,我に来たれよ
104,深愛耶穌,愛する主よ
105,為主捨命,主の為命を献ぐ
106,我是耶穌門徒,我れ主イエスの信徒なり
107,容我與主同行,主と共に行く
108,跟從救主,御跡に従う
109,踐主跡行,愛する主と共に
110,撇物從主,我が主の為には
111,跟隨救主,来よ世の罪人
112,我跟隨主,信仰により歩め
113,奉獻會堂,天地こぞりて
114,感恩奉獻,御前にささぐ
115,會堂落成,主よ今御前に
116,獻上身心,君の君はます
117,奉獻祈納,いま献げまつる
118,奉獻全生,すべてささぐ
119,都歸耶穌我救主,主イエスにすべてを
120,奉獻所有,みな献げまつり
121,我獻何物給耶穌？,我れ何を持て
122,彼此相愛,愛し合いて
123,聖徒送行,別れゆく僕の
124甲 ,實行愛心（甲),愛とは（甲)
124乙 ,實行愛心（乙),愛とは（乙)
125,別離詩,別れゆくけど
126,兄弟相愛,互いに愛し
127,切實相愛,主を愛するなら
128,快樂聖日,今日は御神の
129,紀念聖日,聖日守らん
130,安息聖日,聖なる安息日
131,樂守聖日,楽し安息日
265,快告訴耶穌,イエスに話せ
266,傳揚福音,福音伝えよ
267,聽主差遣,主語り給いて
268,聽從主呼召,主の呼ぶ御声に
269,聞主呼召我,主は呼び給えり
